	Вопрос #2	Вопрос #3	Ответ
Сколько раз нужно приезжать в школу-партнёр в 9 классе?	На экзамены нужно приезжать?		В 9 классе нужно приехать минимум 3 раза до экзаменов: две сессии пробных экзаменов (22-26 декабря и 2-6 марта) и итоговое собеседование (11 февраля), а также на сами экзамены ОГЭ.
В каком формате проходят уроки?	Как проходят уроки?	У вас есть онлайн-уроки с преподавателями?	Уроки проходят в формате онлайн-вебинаров с 10:00 по московскому времени. Ученики видят и слышат преподавателя, могут задавать вопросы в чате. Преподаватель отвечает на все вопросы в режиме реального времени.
Что будет, если пропустить урок?	Можно пропускать уроки?	Что если не успели на урок подключится?	Ничего страшного. Все уроки сохраняются в записи на платформе, их можно пересмотреть в любое удобное время. Пропуск урока или невыполнение домашнего задания не влияет на успеваемость.
Как проходит аттестация?	У вас есть аттестация?	Как часто нужно сдавать аттестацию?	Аттестация проходит полностью онлайн на платформе 3 раза в год (обучение триместровое). Ученики выполняют тестовые работы, получают за них оценки. Прокторинга (слежения за учеником) нет.
Когда проходит аттестация?			После каждого триместра: первая в ноябре, вторая будет в феврале, последняя в мае. После недели аттестации идёт неделя каникул.
Можно ли пересдать аттестацию, если получил плохую оценку?	Что если ребёнок не сдал аттестацию?	Можно ли пересдать если ребенок получил 3 или 4?	Пересдать конкретную аттестацию можно. если ребёнок не набрал проходной балл, если набран проходной балл (около 40 баллов из 100, то нельзя). Но можно исправить ситуацию на следующих аттестациях, так как годовая оценка это среднее арифметическое трёх триместров.
Какая система оценивания используется?	Как ребёнок получает оценки?		На аттестациях используется 100-балльная система: 35-49 баллов - тройка, 50-74 балла - четвёрка, 75-100 баллов - пятёрка.
Чем отличается семейная форма обучения от заочной?	Как лучше прикрепится?		При семейной форме ответственность за обучение лежит на родителе, личное дело остаётся на руках, выдаётся справка-ведомость. При заочной форме личное дело передаётся в школу, оценки выставляются в него напрямую. Процесс обучения одинаковый, различия только юридические.
Нужно ли покупать учебники?	Какие учебники нужны?		Покупать учебники не нужно. Все материалы (презентации, конспекты, выжимки из учебников) предоставляются на платформе.
Какой опыт у преподавателей?			Все преподаватели имеют академический опыт от 15 лет. Они эксперты в области ОГЭ, ЕГЭ и олимпиадной подготовки, знают все обновления программ и экзаменов.
Сколько учеников в классе?	Сколько детей на уроке?		В стандартных группах 40-60 человек. В премиум-тарифе мини-группы до 15 человек для углублённого изучения предметов.
Как проверяются домашние задания?	Есть ли проверка домашних заданий?	Предодавтели проверяют домашние задания?	На стандартном тарифе - автоматическая проверка, ученик сразу видит ошибки. На оптимальном и премиум тарифах добавляется ручная проверка преподавателем 2 раза в год по каждому предмету с подробными комментариями.
